,gauge,accDepth_DAP,rainCode,intensityCode_a,timeCode_a,dataType,rainStartTime,timeStamp
247,83,10.414,0,0.0,0.0,a,1964-07-31 12:10:00,1964-07-31 14:34:00
248,83,11.43,0,0.0,0.0,a,1964-07-31 12:10:00,1964-07-31 14:45:00
249,83,11.684,0,0.0,0.0,a,1964-07-31 12:10:00,1964-07-31 14:47:00
250,83,0.0,0,0.0,0.0,a,1964-08-01 12:25:00,1964-08-01 12:25:00
251,83,1.27,0,0.0,0.0,a,1964-08-01 12:25:00,1964-08-01 12:56:00
252,83,2.54,0,0.0,0.0,a,1964-08-01 12:25:00,1964-08-01 13:27:00
253,83,3.556,0,0.0,0.0,a,1964-08-01 12:25:00,1964-08-01 14:27:00
254,83,0.0,0,0.0,0.0,a,1964-08-01 19:20:00,1964-08-01 19:20:00
255,83,0.762,0,2.0,0.0,a,1964-08-01 19:20:00,1964-08-01 19:40:00
256,83,0.0,0,0.0,0.0,a,1964-08-02 18:15:00,1964-08-02 18:15:00
257,83,1.016,0,2.0,0.0,a,1964-08-02 18:15:00,1964-08-02 18:45:00
258,83,0.0,0,0.0,0.0,a,1964-08-05 18:15:00,1964-08-05 18:15:00
259,83,1.524,0,0.0,0.0,a,1964-08-05 18:15:00,1964-08-05 18:20:00
260,83,3.81,0,0.0,0.0,a,1964-08-05 18:15:00,1964-08-05 18:24:00
261,83,6.096,0,0.0,0.0,a,1964-08-05 18:15:00,1964-08-05 18:44:00
262,83,0.0,0,0.0,0.0,a,1964-08-08 19:55:00,1964-08-08 19:55:00
263,83,5.08,0,0.0,0.0,a,1964-08-08 19:55:00,1964-08-08 20:01:00
264,83,9.144,0,0.0,0.0,a,1964-08-08 19:55:00,1964-08-08 20:08:00
265,83,12.192,0,0.0,0.0,a,1964-08-08 19:55:00,1964-08-08 20:32:00
266,83,13.716,0,0.0,0.0,a,1964-08-08 19:55:00,1964-08-08 23:11:00
267,83,14.732,0,0.0,0.0,a,1964-08-08 19:55:00,1964-08-08 23:55:00
268,83,0.0,0,0.0,0.0,a,1964-08-16 15:40:00,1964-08-16 15:40:00
269,83,5.842,0,0.0,0.0,a,1964-08-16 15:40:00,1964-08-16 15:48:00
270,83,13.97,0,0.0,0.0,a,1964-08-16 15:40:00,1964-08-16 15:53:00
271,83,16.256,0,0.0,0.0,a,1964-08-16 15:40:00,1964-08-16 15:59:00
272,83,18.542,0,0.0,0.0,a,1964-08-16 15:40:00,1964-08-16 16:01:00
273,83,19.05,0,0.0,0.0,a,1964-08-16 15:40:00,1964-08-16 16:08:00
274,83,0.0,0,0.0,0.0,a,1964-08-19 15:50:00,1964-08-19 15:50:00
275,83,1.27,0,2.0,0.0,a,1964-08-19 15:50:00,1964-08-19 16:00:00
276,83,0.0,0,0.0,0.0,a,1964-08-26 18:40:00,1964-08-26 18:40:00
277,83,1.27,0,2.0,0.0,a,1964-08-26 18:40:00,1964-08-26 19:00:00
278,83,0.0,0,0.0,0.0,a,1964-08-27 01:35:00,1964-08-27 01:35:00
279,83,0.508,0,0.0,0.0,a,1964-08-27 01:35:00,1964-08-27 01:39:00
280,83,2.286,0,0.0,0.0,a,1964-08-27 01:35:00,1964-08-27 01:47:00
281,83,4.318,0,0.0,0.0,a,1964-08-27 01:35:00,1964-08-27 01:54:00
282,83,7.874,0,0.0,0.0,a,1964-08-27 01:35:00,1964-08-27 02:04:00
283,83,9.398,0,0.0,0.0,a,1964-08-27 01:35:00,1964-08-27 03:00:00
284,83,0.0,0,0.0,0.0,a,1964-09-06 15:50:00,1964-09-06 15:50:00
285,83,3.556,0,0.0,0.0,a,1964-09-06 15:50:00,1964-09-06 16:00:00
286,83,4.064,0,0.0,0.0,a,1964-09-06 15:50:00,1964-09-06 16:15:00
287,83,0.0,0,0.0,0.0,a,1964-09-08 17:35:00,1964-09-08 17:35:00
288,83,3.048,0,0.0,0.0,a,1964-09-08 17:35:00,1964-09-08 17:44:00
289,83,4.572,0,0.0,0.0,a,1964-09-08 17:35:00,1964-09-08 17:51:00
290,83,13.97,0,0.0,0.0,a,1964-09-08 17:35:00,1964-09-08 18:00:00
